hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000002,Diakonissenkrankenhaus Flensburg,9.426,54.7904,Knuthstr. 1,24939,Flensburg,Schleswig-Holstein,"Diakonissenkrankenhaus Flensburg, Knuthstr. 1, 24939 Flensburg",Schleswig-Holstein,4284063.680874565,3520661.6586438394,20000,64.30212707315208,12,4274063.680874565,4294063.680874565,3510661.6586438394,3530661.6586438394
K000000003,Malteser Krankenhaus St. Franziskus-Hospital,9.4216,54.793,Waldstr. 17,24939,Flensburg,Schleswig-Holstein,"Malteser Krankenhaus St. Franziskus-Hospital, Waldstraße 17, 24939 Flensburg",Schleswig-Holstein,4283782.918033585,3520953.2399278237,20000,63.01687638663166,12,4273782.918033585,4293782.918033585,3510953.2399278237,3530953.2399278237
K000000004,Städtisches Krankenhaus Kiel GmbH,10.1162,54.3224,Chemnitzstr. 33,24116,Kiel,Schleswig-Holstein,"Städtisches Krankenhaus Kiel GmbH, Chemnitzstr. 33, 24116 Kiel",Schleswig-Holstein,4328562.788163073,3468440.8663023724,20000,75.958355335805,10,4318562.788163073,4338562.788163073,3458440.8663023724,3478440.8663023724
K000000005,Sankt Elisabeth Krankenhaus Kiel,10.1271,54.3168,Königsweg 8,24103,Kiel,Schleswig-Holstein,"Sankt Elisabeth Krankenhaus Kiel, Königsweg 8, 24103 Kiel",Schleswig-Holstein,4329273.319929826,3467818.8743014503,20000,81.77569642613068,10,4319273.319929826,4339273.319929826,3457818.8743014503,3477818.8743014503
K000000006,Park-Klinik GmbH,10.1256,54.3267,Goethestr. 11,24116,Kiel,Schleswig-Holstein,"Park-Klinik GmbH, Goethestrasse 11, 24116 Kiel",Schleswig-Holstein,4329173.733636578,3468920.406320483,20000,79.12229270379471,10,4319173.733636578,4339173.733636578,3458920.406320483,3478920.406320483
K000000007,Lubinus Clinicum,10.1169,54.3537,Steenbeker Weg 25,24106,Kiel,Schleswig-Holstein,"Lubinus Clinicum, Steenbeker Weg 25, 24106 Kiel",Schleswig-Holstein,4328602.617124513,3471924.0993981217,20000,68.3691371152362,10,4318602.617124513,4338602.617124513,3461924.0993981217,3481924.0993981217
K000000008,Klinik Flechsig GmbH,10.1162,54.3224,Chemnitzstr. 33,24116,Kiel,Schleswig-Holstein,"Klinik Flechsig GmbH, Chemnitzstraße 33, 24116 Kiel",Schleswig-Holstein,4328562.788163073,3468440.8663023724,20000,75.958355335805,10,4318562.788163073,4338562.788163073,3458440.8663023724,3478440.8663023724
K000000009,Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,10.6851,53.8623,Parade 3,23552,Lübeck,Schleswig-Holstein,"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH, Parade 3, 23552 Lübeck",Schleswig-Holstein,4366080.861902422,3417446.3719349066,20000,76.48077093656764,14,4356080.861902422,4376080.861902422,3407446.3719349066,3427446.3719349066
K000000010,DRK-Fachklinik Hahnknüll gGmbH,9.9468,54.0984,Hahnknüll 58,24537,Neumünster,Schleswig-Holstein,"DRK-Fachklinik Hahnknüll gGmbH, Hahnknüll 58, 24537 Neumünster",Schleswig-Holstein,4317518.879449323,3443508.560190071,20000,78.87361680795856,6,4307518.879449323,4327518.879449323,3433508.560190071,3453508.560190071
K000000012,Johanniter-Krankenhaus Geesthacht GmbH,10.3854,53.4316,Am Runden Berge 3,21502,Geesthacht,Schleswig-Holstein,"Johanniter-Krankenhaus Geesthacht GmbH, Am Runden Berge 3, 21502 Geesthacht",Schleswig-Holstein,4346618.478579923,3369371.4793781755,20000,48.10516806699957,6,4336618.478579923,4356618.478579923,3359371.4793781755,3379371.4793781755
