hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000305,Krankenhaus Johanneum,8.4317,52.8939,Feldstr. 1,27793,Wildeshausen,Niedersachsen,"Krankenhaus Johanneum, Feldstrasse 1, 27793 Wildeshausen",Niedersachsen,4215455.242744568,3310606.525252046,10000,10.733876393088194,1,4210455.242744568,4220455.242744568,3305606.525252046,3315606.525252046
K000000307,Klinikum Wilhelmshaven gGmbH,8.0825,53.5454,Friedrich-Paffrath-Str. 100,26389,Wilhelmshaven,Niedersachsen,"Klinikum Wilhelmshaven gGmbH, Friedrich-Paffrath-Straße 100, 26389 Wilhelmshaven",Niedersachsen,4193894.3824486663,3383648.182501804,10000,8.11645873788458,2,4188894.3824486663,4198894.382448666,3378648.182501804,3388648.182501804
K000000308,Krankenhaus Wittmund gGmbH,7.7885,53.5719,Dohuser Weg 10,26409,Wittmund,Niedersachsen,"Krankenhaus Wittmund gGmbH, Dohuser Weg 10, 26409 Wittmund",Niedersachsen,4174503.547534134,3387150.8863602905,10000,17.394243341669284,2,4169503.547534134,4179503.547534134,3382150.8863602905,3392150.8863602905
K000000309,Fachklinik Bad Bentheim,7.1622,52.3171,Am Bade 1,48455,Bad Bentheim,Niedersachsen,"Fachklinik Bad Bentheim, Am Bade 1, 48455 Bad Bentheim",Niedersachsen,4127540.3588908417,3249054.2224543663,10000,25.442605485007196,4,4122540.3588908417,4132540.3588908417,3244054.2224543663,3254054.2224543663
K000000310,St. Josefs-Hospital Cloppenburg,8.04,52.8477,Krankenhausstr. 13,49661,Cloppenburg,Niedersachsen,"St. Josefs-Hospital Cloppenburg, Krankenhausstraße 13, 49661 Cloppenburg",Niedersachsen,4188961.257030042,3306106.9818586893,10000,26.162894292670753,4,4183961.257030042,4193961.257030042,3301106.9818586893,3311106.9818586893
K000000311,Niels-Stensen-Kliniken Franziskus-Hospital Harderberg,8.0737,52.2376,Alte Rothenfelder Str. 23,49124,Georgsmarienhütte,Niedersachsen,"Niels-Stensen-Kliniken Franziskus-Hospital Harderberg, Alte Rothenfelder Straße 23, 49124 Georgsmarienhütte",Niedersachsen,4189423.9524672218,3238177.6483796607,10000,28.619357295733664,7,4184423.9524672218,4194423.952467222,3233177.6483796607,3243177.6483796607
K000000312,Ammerland-Klinik Westerstede,7.919,53.2587,Lange Str. 38,26655,Westerstede,Niedersachsen,"Ammerland-Klinik Westerstede, Lange Straße 38, 26655 Westerstede",Niedersachsen,4182134.3212092416,3352053.6538081705,10000,11.556551910718651,3,4177134.3212092416,4187134.3212092416,3347053.6538081705,3357053.6538081705
K000000313,Johann-Wilhelm-Ritter-Klinik Zentrum für dermatologische Phototherapie GmbH & Co. KG,8.1527,52.1134,Parkstr. 35-37,49214,Bad Rothenfelde,Niedersachsen,"Johann-Wilhelm-Ritter-Klinik Zentrum für dermatologische Phototherapie GmbH & Co. KG, Parkstr. 35-37, 49214 Bad Rothenfelde",Niedersachsen,4194467.264287367,3224221.8734160936,10000,9.507830793667026,3,4189467.2642873675,4199467.264287367,3219221.8734160936,3229221.8734160936
K000000314,MediClin Hedon Klinik,7.3588,52.5119,Hedonallee 1,49811,Lingen (Ems),Niedersachsen,"MediClin Hedon Klinik, Hedonallee 1, 49811 Lingen (Ems)",Niedersachsen,4141725.9547225386,3270213.856426232,10000,15.115900902466937,2,4136725.9547225386,4146725.9547225386,3265213.856426232,3275213.856426232
K000000315,Marien Hospital Papenburg Aschendorf,7.3941,53.0755,Hauptkanal rechts 74-75,26871,Papenburg,Niedersachsen,"Marien Hospital Papenburg Aschendorf, Hauptkanal rechts 74-75, 26871 Papenburg",Niedersachsen,4146384.6066907737,3332809.1890027197,10000,12.133094966606826,2,4141384.6066907737,4151384.6066907737,3327809.1890027197,3337809.1890027197
