hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,autobahn_length_in_cell_km_1939,autobahn_segments_hitting_cell_1939,x_min,x_max,y_min,y_max
K000001314,Klinikum Starnberg,11.335,48.007,Oßwaldstr. 1,82319,Starnberg,Bayern,"Klinikum Starnberg, Oßwaldstr. 1, 82319 Starnberg",Bayern,4420658.1021484565,2766835.5307119116,30000,0.0,0,4405658.1021484565,4435658.1021484565,2751835.5307119116,2781835.5307119116
K000001315,Benedictus Krankenhaus Tutzing GmbH & Co. KG,11.2768,47.907,Bahnhofstr. 5,82327,Tutzing,Bayern,"Benedictus Krankenhaus Tutzing GmbH & Co. KG, Bahnhofstraße 5, 82327 Tutzing",Bayern,4416500.826472301,2755647.2061998253,30000,0.0,0,4401500.826472301,4431500.826472301,2740647.2061998253,2770647.2061998253
K000001316,Salzachklinik Fridolfing,12.8214,47.999,Krankenhausstr. 1,83413,Fridolfing,Bayern,"Salzachklinik Fridolfing, Krankenhausstr. 1, 83413 Fridolfing",Bayern,4531605.775774505,2769067.003252376,30000,0.0,0,4516605.775774505,4546605.775774505,2754067.003252376,2784067.003252376
K000001317,Klinikum Traunstein,12.6323,47.8737,Cuno-Niggl-Str. 3,83278,Traunstein,Bayern,"Klinikum Traunstein, Cuno-Niggl-Str. 3, 83278 Traunstein",Bayern,4517979.887949087,2754628.90420126,30000,31.165296504314878,2,4502979.887949087,4532979.887949087,2739628.90420126,2769628.90420126
K000001318,Kreisklinik Trostberg,12.5436,48.0293,Siegerthöhe 1,83308,Trostberg,Bayern,"Kreisklinik Trostberg, Siegerthöhe 1, 83308 Trostberg",Bayern,4510766.205845168,2771679.96546245,30000,0.0,0,4495766.205845168,4525766.205845168,2756679.96546245,2786679.96546245
K000001319,Krankenhaus Schongau,10.8988,47.8251,Marie-Eberth-Str. 6,86956,Schongau,Bayern,"Krankenhaus Schongau, Marie-Eberth-Straße 6, 86956 Schongau",Bayern,4388337.112294352,2746130.6710030874,30000,0.0,0,4373337.112294352,4403337.112294352,2731130.6710030874,2761130.6710030874
K000001320,Krankenhaus Weilheim,11.1447,47.837,Johann-Baur-Str. 4,82362,Weilheim,Bayern,"Krankenhaus Weilheim, Johann-Baur-Straße 4, 82362 Weilheim",Bayern,4406738.258011059,2747707.428595385,30000,0.0,0,4391738.258011059,4421738.258011059,2732707.428595385,2762707.428595385
K000001322,Paracelsus Klinik München,11.6311,48.1551,Klingsorstr. 5,81927,München,Bayern,"Paracelsus Klinik München, Klingsorstr. 5, 81927 München",Bayern,4442404.281661086,2783734.984739783,30000,18.972841467170248,3,4427404.281661086,4457404.281661086,2768734.984739783,2798734.984739783
K000001323,Klinikum Ingolstadt GmbH,11.3769,48.7698,Krumenauerstr. 25,85049,Ingolstadt,Bayern,"Klinikum Ingolstadt GmbH, Krumenauerstr. 25, 85049 Ingolstadt",Bayern,4422240.987168028,2851666.2997031305,30000,31.281610299062148,1,4407240.987168028,4437240.987168028,2836666.2997031305,2866666.2997031305
K000001325,Ilmtalklinik GmbH Pfaffenhofen,11.4987,48.5183,Krankenhausstr. 70,85276,Pfaffenhofen,Bayern,"Ilmtalklinik GmbH Pfaffenhofen, Krankenhausstraße 70, 85276 Pfaffenhofen",Bayern,4431751.232040664,2823888.3663091054,30000,33.290006582848086,1,4416751.232040664,4446751.232040664,2808888.3663091054,2838888.3663091054
